alpha,mu,x_thresh,sigma_thresh,beta,mean_tau,sigma_tau,birth_noise
1.0,0.1,10.0,1.0,0.6652947785235265,0.7004554449195495,0.4088981401522449,0.2933071512541761
1.0,0.1,10.0,5.0,0.7950064480561688,0.7003662901578096,0.5051891414827143,0.46046410779991626
1.0,0.1,10.0,10.0,0.690867751583814,0.7018593888031452,0.5094943715847781,0.5776688850289382
1.0,0.1,10.0,50.0,0.5570552626782125,0.7027847162832903,0.6376896184414264,0.7912147537636511
1.0,0.1,50.0,1.0,0.799593619011032,0.6957974730737291,0.16661063897374706,0.11974814066077813
1.0,0.1,50.0,5.0,0.8603238221580294,0.6958365070731694,0.34385001899901435,0.15288608933406578
1.0,0.1,50.0,10.0,0.9234955539234235,0.6957072609450756,0.23778661863514483,0.22723782107246354
1.0,0.1,50.0,50.0,0.7071859068877525,0.6961474597391358,0.37062711796475756,0.5588206341322993
1.0,0.1,100.0,1.0,0.8270213633108193,0.6953985587499012,0.11475405811716863,0.08547416663330336
1.0,0.1,100.0,5.0,0.886979510523394,0.695479261665035,0.11678820983573344,0.09827310105213007
1.0,0.1,100.0,10.0,0.8934339143959373,0.6953979442030352,0.14630776731557615,0.12910963466836567
1.0,0.1,100.0,50.0,0.8403349429628468,0.6954446791181986,0.30521010505977975,0.4066899642546027
1.0,0.1,500.0,1.0,0.856424497500481,0.6956327826658946,0.09767443853613945,0.0444995495576832
1.0,0.1,500.0,5.0,0.8955917966892046,0.6957054284420281,0.08306160963740557,0.0452945696722872
1.0,0.1,500.0,10.0,0.8670117393690092,0.6956326040668418,0.06790224019546026,0.04892959076720876
1.0,0.1,500.0,50.0,0.9339691493021767,0.6956803349453887,0.12164911700889965,0.1085118869134544
1.0,0.1,1000.0,1.0,0.8579076962912757,0.6959168685523607,0.07111682771426045,0.03606223848647431
1.0,0.1,1000.0,5.0,0.8656327052215887,0.6959063169238948,0.055081983975534134,0.036018124663423905
1.0,0.1,1000.0,10.0,0.8933556317066296,0.6959777467053199,0.07472085362615982,0.03729466120537326
1.0,0.1,1000.0,50.0,0.9053192087163291,0.6959673992286906,0.09974344586397163,0.061588654870746565
1.0,0.25,10.0,1.0,0.599201628062429,0.7001645375898015,0.4268723148199476,0.29485951830657003
1.0,0.25,10.0,5.0,0.7516034972280615,0.7000994935114372,0.648727763882196,0.44474481745077893
1.0,0.25,10.0,10.0,0.6868169569310282,0.7011386295547475,0.5766814542791393,0.5710892440452681
1.0,0.25,10.0,50.0,0.5651840426114445,0.7033065326730444,0.56997761622219,0.7984114405451701
1.0,0.25,50.0,1.0,0.6868824339247411,0.6953077146414711,0.1426310395135806,0.12198754773710559
1.0,0.25,50.0,5.0,0.8173394296021411,0.6953159754230865,0.1760112319601608,0.15436315696421468
1.0,0.25,50.0,10.0,0.9253214311597737,0.6952743323622064,0.20890076322595658,0.22529197201244794
1.0,0.25,50.0,50.0,0.6986365233323981,0.6958799589490204,0.4049732396714485,0.5667853419003693
1.0,0.25,100.0,1.0,0.7541219162500294,0.6949223588348322,0.09712420146204916,0.08558910165708672
1.0,0.25,100.0,5.0,0.8061206873109241,0.6950170896038766,0.1355474855378941,0.09838792098314944
1.0,0.25,100.0,10.0,0.8602676870040351,0.694933006983053,0.1414824423517823,0.1322782939707819
1.0,0.25,100.0,50.0,0.8254299195080285,0.6949107066600182,0.31712595459317505,0.40381124593689827
1.0,0.25,500.0,1.0,0.8238364433931393,0.6951775016911295,0.07147663904785138,0.04399831517213801
1.0,0.25,500.0,5.0,0.8269159076343185,0.6951808989855407,0.06835057673954366,0.04511656583635696
1.0,0.25,500.0,10.0,0.8743232465909958,0.6952550006642703,0.06951807866158888,0.04841111574617734
1.0,0.25,500.0,50.0,0.9402056738082722,0.6952547275554407,0.12067641928395312,0.11006033330752961
1.0,0.25,1000.0,1.0,0.8273063180379491,0.6954543201022264,0.061165463865286956,0.03645192772993439
1.0,0.25,1000.0,5.0,0.8302545092262034,0.6954383885590023,0.07023013282271665,0.036276838879219835
1.0,0.25,1000.0,10.0,0.828978925168445,0.6954661252888278,,0.03758694158040497
1.0,0.25,1000.0,50.0,0.8360877095867296,0.6954698965614808,0.09011205391111204,0.06262507263823067
1.0,0.5,10.0,1.0,0.5518707887960304,0.699775340836744,0.38982589634441855,0.296645122264323
1.0,0.5,10.0,5.0,0.7430622233751284,0.6994803576615013,0.4567482509838686,0.43367851637405647
1.0,0.5,10.0,10.0,0.6534433240611611,0.6994026483050285,0.5202938413947282,0.5535824120361628
1.0,0.5,10.0,50.0,0.5363506018351852,0.6987384882094413,0.557112582386003,0.7759455113623283
1.0,0.5,50.0,1.0,0.6273503278409558,0.6949750068850293,0.15398010425939945,0.11931183506389026
1.0,0.5,50.0,5.0,0.7538005721854961,0.6949104968895614,0.18655480543992964,0.15452848781397743
1.0,0.5,50.0,10.0,0.8792729337018442,0.6949792979302536,0.2524772692566539,0.22710319860811723
1.0,0.5,50.0,50.0,0.6730081557507198,0.6948961022427321,0.38278284066444557,0.5738229641559845
1.0,0.5,100.0,1.0,0.6762845803851292,0.6945945632906773,0.0988546563577634,0.08565736718951772
1.0,0.5,100.0,5.0,0.7550556801251238,0.6946214099320582,0.11807859958848141,0.09731099717628798
1.0,0.5,100.0,10.0,0.8679926635349234,0.6946216249047994,0.14447109606049233,0.13010265012380268
1.0,0.5,100.0,50.0,0.8379030176299148,0.6948038060884075,0.30915731178247124,0.4032939716198163
1.0,0.5,500.0,1.0,0.7808036690613547,0.6948281649312671,0.059084966051320555,0.0437577156086373
1.0,0.5,500.0,5.0,0.7987984055965563,0.6948159163203578,0.04742417276905761,0.04480156733066078
1.0,0.5,500.0,10.0,0.8241311319861512,0.694892565981278,0.06482862340829035,0.048785184092172314
1.0,0.5,500.0,50.0,0.9241634582901403,0.6948833551924813,0.12164868394885962,0.10985985866448851
1.0,0.5,1000.0,1.0,0.793780040263579,0.6951089827913554,0.053000175339852566,0.03634288136516716
1.0,0.5,1000.0,5.0,0.7891969856743536,0.6951052533105615,0.05311280504241277,0.036586631465901596
1.0,0.5,1000.0,10.0,0.806463432981114,0.6951155401605423,0.04924239307959432,0.03746489072272923
1.0,0.5,1000.0,50.0,0.8779088391486612,0.6951750355169082,0.07218258415575597,0.06173076872538212
1.0,0.75,10.0,1.0,0.520122683676488,0.6996824259406492,0.3988941579792116,0.29729940399404664
1.0,0.75,10.0,5.0,0.6891265600347128,0.6997913891023524,0.44294951035532865,0.46270375382541556
1.0,0.75,10.0,10.0,0.6628445777912766,0.6991971939383106,0.5861853195892821,0.5788142888831319
